"job_title","company_name","source","id","timestamp","timezone"
"Internal Audit Staff","PT Bali Towerindo Sentra Tbk","Jobstreet","4069614","2022-10-17 11:58:36","UTC"
"Chief Accountant (Project)","PT JFE Engineering Indonesia","Jobstreet","4071233","2022-10-18 11:56:13","UTC"
"Internal Audit Supervisor","PT Duta Intiguna Yasa (MR DIY)","Jobstreet","4073069","2022-10-19 12:05:54","UTC"
"Finance & Accounting","PT Minevesting Resources Indonesia","Jobstreet","4076953","2022-10-23 00:11:49","UTC"
"Audit Supervisor","Persek KAP Syarief Basir & Rekan","Jobstreet","4078666","2022-10-24 12:01:00","UTC"
"IT Auditor","PT Asuransi Jiwa Sinarmas MSIG Tbk.","Jobstreet","4079879","2022-10-25 12:03:35","UTC"
"Risk Management Staff","PT Bank Mizuho Indonesia","Jobstreet","4082218","2022-10-26 11:55:31","UTC"
"IT Governance Head","PT ZURICH ASURANSI INDONESIA, Tbk","Jobstreet","4083400","2022-10-27 11:55:02","UTC"
"IT Security & Governance Department Head","PT Bank JTrust Indonesia, Tbk","Jobstreet","4082959","2022-10-27 11:55:02","UTC"
"Risk and Compliance Associate","Pt. Nap Info Lintas Nusa (matrix)","Glints Native","a3902094-7952-4038-a284-21c57baaddd8","2022-10-27 11:56:22","UTC"
"Compliance Staff - for Digital Bank (Kode Posisi : COM - D)","PT Bank Mayora","Jobstreet","4085672","2022-10-28 11:56:40","UTC"
"Internal Audit Associate","FIBERSTAR (PT. Mega Akses Persada)","Jobstreet","4085744","2022-10-28 11:56:40","UTC"
"Senior Associate","Kantor Akuntan Publik Tanuwijaya","Jobstreet","4085000","2022-10-28 11:56:40","UTC"
"Junior Associate (Auditor SME Div)","Reanda Bernardi - Audit, Tax, M&A , Advisory","Jobstreet","4086238","2022-10-29 11:59:02","UTC"
"Internal Audit Staff","PT Kreditku Teknologi Indonesia","Jobstreet","4086725","2022-10-31 11:54:19","UTC"
"Internal Audit & Anti Fraud Head","PT Sembrani Finance Indonesia","Jobstreet","4088409","2022-11-01 11:55:15","UTC"
"System Administrator","PT Infinitium Solutions","Jobstreet","4088718","2022-11-01 11:55:15","UTC"
"Internal Audit","PT. CJ FEED AND CARE INDONESIA (Head Office)","Jobstreet","4089123","2022-11-01 11:55:15","UTC"
"INTERNAL AUDIT SUPERVISOR","PT. ALPEN FOOD INDUSTRY","Jobstreet","4089744","2022-11-01 11:55:15","UTC"
"Governance Risk Compliance (ISO 27002)","Asaba Computer Centre","Glints Native","f727a47a-0359-4776-a511-604573e60198","2022-11-03 11:59:51","UTC"
"Internal Audit","PT Agung Podomoro Land, Tbk (Agung Podomoro Group)","Jobstreet","4095851","2022-11-07 11:59:09","UTC"
"INTERNAL AUDITOR OFFICER","PT Tatalogam Lestari","Jobstreet","4098045","2022-11-08 11:51:22","UTC"
